"Physical Name","Generate Using Bind","Physical Only","Schema","Value"
CURRENT_TIMESTAMP,,true,,CURRENT_TIMESTAMP
CURRENT_USER,,true,,CURRENT_USER
DF_AWBuildVersion_ModifiedDate,false,,dbo,getdate()
DF_AddressType_ModifiedDate,false,,Person,getdate()
DF_AddressType_rowguid,false,,Person,newid()
DF_Address_ModifiedDate,false,,Person,getdate()
DF_Address_rowguid,false,,Person,newid()
DF_BillOfMaterials_ModifiedDate,false,,Production,getdate()
DF_BillOfMaterials_PerAssemblyQty,false,,Production,1.00
DF_BillOfMaterials_StartDate,false,,Production,getdate()
DF_BusinessEntityAddress_ModifiedDate,false,,Person,getdate()
DF_BusinessEntityAddress_rowguid,false,,Person,newid()
DF_BusinessEntityContact_ModifiedDate,false,,Person,getdate()
DF_BusinessEntityContact_rowguid,false,,Person,newid()
DF_BusinessEntity_ModifiedDate,false,,Person,getdate()
DF_BusinessEntity_rowguid,false,,Person,newid()
DF_ContactType_ModifiedDate,false,,Person,getdate()
DF_CountryRegionCurrency_ModifiedDate,false,,Sales,getdate()
DF_CountryRegion_ModifiedDate,false,,Person,getdate()
DF_CreditCard_ModifiedDate,false,,Sales,getdate()
DF_Culture_ModifiedDate,false,,Production,getdate()
DF_CurrencyRate_ModifiedDate,false,,Sales,getdate()
DF_Currency_ModifiedDate,false,,Sales,getdate()
DF_Customer_ModifiedDate,false,,Sales,getdate()
DF_Customer_rowguid,false,,Sales,newid()
DF_Department_ModifiedDate,false,,HumanResources,getdate()
DF_Document_ChangeNumber,false,,Production,0
DF_Document_FolderFlag,false,,Production,0
DF_Document_ModifiedDate,false,,Production,getdate()
DF_Document_rowguid,false,,Production,newid()
DF_EmailAddress_ModifiedDate,false,,Person,getdate()
DF_EmailAddress_rowguid,false,,Person,newid()
DF_EmployeeDepartmentHistory_ModifiedDate,false,,HumanResources,getdate()
DF_EmployeePayHistory_ModifiedDate,false,,HumanResources,getdate()
DF_Employee_CurrentFlag,false,,HumanResources,1
DF_Employee_ModifiedDate,false,,HumanResources,getdate()
DF_Employee_SalariedFlag,false,,HumanResources,1
DF_Employee_SickLeaveHours,false,,HumanResources,0
DF_Employee_VacationHours,false,,HumanResources,0
DF_Employee_rowguid,false,,HumanResources,newid()
DF_ErrorLog_ErrorTime,false,,dbo,getdate()
DF_Illustration_ModifiedDate,false,,Production,getdate()
DF_JobCandidate_ModifiedDate,false,,HumanResources,getdate()
DF_Location_Availability,false,,Production,0.00
DF_Location_CostRate,false,,Production,0.00
DF_Location_ModifiedDate,false,,Production,getdate()
DF_Password_ModifiedDate,false,,Person,getdate()
DF_Password_rowguid,false,,Person,newid()
DF_PersonCreditCard_ModifiedDate,false,,Sales,getdate()
DF_PersonPhone_ModifiedDate,false,,Person,getdate()
DF_Person_EmailPromotion,false,,Person,0
DF_Person_ModifiedDate,false,,Person,getdate()
DF_Person_NameStyle,false,,Person,0
DF_Person_rowguid,false,,Person,newid()
DF_PhoneNumberType_ModifiedDate,false,,Person,getdate()
DF_ProductCategory_ModifiedDate,false,,Production,getdate()
DF_ProductCategory_rowguid,false,,Production,newid()
DF_ProductCostHistory_ModifiedDate,false,,Production,getdate()
DF_ProductDescription_ModifiedDate,false,,Production,getdate()
DF_ProductDescription_rowguid,false,,Production,newid()
DF_ProductDocument_ModifiedDate,false,,Production,getdate()
DF_ProductInventory_ModifiedDate,false,,Production,getdate()
DF_ProductInventory_Quantity,false,,Production,0
DF_ProductInventory_rowguid,false,,Production,newid()
DF_ProductListPriceHistory_ModifiedDate,false,,Production,getdate()
DF_ProductModelIllustration_ModifiedDate,false,,Production,getdate()
DF_ProductModelProductDescriptionCulture_ModifiedDate,false,,Production,getdate()
DF_ProductModel_ModifiedDate,false,,Production,getdate()
DF_ProductModel_rowguid,false,,Production,newid()
DF_ProductPhoto_ModifiedDate,false,,Production,getdate()
DF_ProductProductPhoto_ModifiedDate,false,,Production,getdate()
DF_ProductProductPhoto_Primary,false,,Production,0
DF_ProductReview_ModifiedDate,false,,Production,getdate()
DF_ProductReview_ReviewDate,false,,Production,getdate()
DF_ProductSubcategory_ModifiedDate,false,,Production,getdate()
DF_ProductSubcategory_rowguid,false,,Production,newid()
DF_ProductVendor_ModifiedDate,false,,Purchasing,getdate()
DF_Product_FinishedGoodsFlag,false,,Production,1
DF_Product_MakeFlag,false,,Production,1
DF_Product_ModifiedDate,false,,Production,getdate()
DF_Product_rowguid,false,,Production,newid()
DF_PurchaseOrderDetail_ModifiedDate,false,,Purchasing,getdate()
DF_PurchaseOrderHeader_Freight,false,,Purchasing,0.00
DF_PurchaseOrderHeader_ModifiedDate,false,,Purchasing,getdate()
DF_PurchaseOrderHeader_OrderDate,false,,Purchasing,getdate()
DF_PurchaseOrderHeader_RevisionNumber,false,,Purchasing,0
DF_PurchaseOrderHeader_Status,false,,Purchasing,1
DF_PurchaseOrderHeader_SubTotal,false,,Purchasing,0.00
DF_PurchaseOrderHeader_TaxAmt,false,,Purchasing,0.00
DF_SalesOrderDetail_ModifiedDate,false,,Sales,getdate()
DF_SalesOrderDetail_UnitPriceDiscount,false,,Sales,0.0
DF_SalesOrderDetail_rowguid,false,,Sales,newid()
DF_SalesOrderHeaderSalesReason_ModifiedDate,false,,Sales,getdate()
DF_SalesOrderHeader_Freight,false,,Sales,0.00
DF_SalesOrderHeader_ModifiedDate,false,,Sales,getdate()
DF_SalesOrderHeader_OnlineOrderFlag,false,,Sales,1
DF_SalesOrderHeader_OrderDate,false,,Sales,getdate()
DF_SalesOrderHeader_RevisionNumber,false,,Sales,0
DF_SalesOrderHeader_Status,false,,Sales,1
DF_SalesOrderHeader_SubTotal,false,,Sales,0.00
DF_SalesOrderHeader_TaxAmt,false,,Sales,0.00
DF_SalesOrderHeader_rowguid,false,,Sales,newid()
DF_SalesPersonQuotaHistory_ModifiedDate,false,,Sales,getdate()
DF_SalesPersonQuotaHistory_rowguid,false,,Sales,newid()
DF_SalesPerson_Bonus,false,,Sales,0.00
DF_SalesPerson_CommissionPct,false,,Sales,0.00
DF_SalesPerson_ModifiedDate,false,,Sales,getdate()
DF_SalesPerson_SalesLastYear,false,,Sales,0.00
DF_SalesPerson_SalesYTD,false,,Sales,0.00
DF_SalesPerson_rowguid,false,,Sales,newid()
DF_SalesReason_ModifiedDate,false,,Sales,getdate()
DF_SalesTaxRate_ModifiedDate,false,,Sales,getdate()
DF_SalesTaxRate_TaxRate,false,,Sales,0.00
DF_SalesTaxRate_rowguid,false,,Sales,newid()
DF_SalesTerritoryHistory_ModifiedDate,false,,Sales,getdate()
DF_SalesTerritoryHistory_rowguid,false,,Sales,newid()
DF_SalesTerritory_CostLastYear,false,,Sales,0.00
DF_SalesTerritory_CostYTD,false,,Sales,0.00
DF_SalesTerritory_ModifiedDate,false,,Sales,getdate()
DF_SalesTerritory_SalesLastYear,false,,Sales,0.00
DF_SalesTerritory_SalesYTD,false,,Sales,0.00
DF_SalesTerritory_rowguid,false,,Sales,newid()
DF_ScrapReason_ModifiedDate,false,,Production,getdate()
DF_Shift_ModifiedDate,false,,HumanResources,getdate()
DF_ShipMethod_ModifiedDate,false,,Purchasing,getdate()
DF_ShipMethod_ShipBase,false,,Purchasing,0.00
DF_ShipMethod_ShipRate,false,,Purchasing,0.00
DF_ShipMethod_rowguid,false,,Purchasing,newid()
DF_ShoppingCartItem_DateCreated,false,,Sales,getdate()
DF_ShoppingCartItem_ModifiedDate,false,,Sales,getdate()
DF_ShoppingCartItem_Quantity,false,,Sales,1
DF_SpecialOfferProduct_ModifiedDate,false,,Sales,getdate()
DF_SpecialOfferProduct_rowguid,false,,Sales,newid()
DF_SpecialOffer_DiscountPct,false,,Sales,0.00
DF_SpecialOffer_MinQty,false,,Sales,0
DF_SpecialOffer_ModifiedDate,false,,Sales,getdate()
DF_SpecialOffer_rowguid,false,,Sales,newid()
DF_StateProvince_IsOnlyStateProvinceFlag,false,,Person,1
DF_StateProvince_ModifiedDate,false,,Person,getdate()
DF_StateProvince_rowguid,false,,Person,newid()
DF_Store_ModifiedDate,false,,Sales,getdate()
DF_Store_rowguid,false,,Sales,newid()
DF_TransactionHistoryArchive_ModifiedDate,false,,Production,getdate()
DF_TransactionHistoryArchive_ReferenceOrderLineID,false,,Production,0
DF_TransactionHistoryArchive_TransactionDate,false,,Production,getdate()
DF_TransactionHistory_ModifiedDate,false,,Production,getdate()
DF_TransactionHistory_ReferenceOrderLineID,false,,Production,0
DF_TransactionHistory_TransactionDate,false,,Production,getdate()
DF_UnitMeasure_ModifiedDate,false,,Production,getdate()
DF_Vendor_ActiveFlag,false,,Purchasing,1
DF_Vendor_ModifiedDate,false,,Purchasing,getdate()
DF_Vendor_PreferredVendorStatus,false,,Purchasing,1
DF_WorkOrderRouting_ModifiedDate,false,,Production,getdate()
DF_WorkOrder_ModifiedDate,false,,Production,getdate()
NULL,,true,,NULL
SESSION_USER,,true,,SESSION_USER
SYSTEM_USER,,true,,SYSTEM_USER
USER,,true,,USER
